idx,kind,digits,instance_text,correct_nl,correct_code,correct_code_exec,s_concept_true_given_nl,s_concept_true_given_code,concept_top1_correct_nl,concept_top1_correct_code,pred_letter_nl,pred_letter_code,has_code_fence
0,ilp_prod,8,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [8, 11, 9, 6]
consumption (rows=resources) = [[5, 7, 7, 6], [8, 2, 2, 4], [3, 8, 4, 6], [5, 1, 3, 1]]
capacity = [27, 30, 25, 25]
upper_bounds = [3, 3, 3, 4]",0,0,1,0.008523603061740803,0.3453254413012533,0,1,G,F,1
1,mul,8,Compute: 58089775 * 67240995,0,0,1,0.27227494345476755,0.11959377555413485,1,0,C,A,1
2,lcs,8,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""cbbbbaad""
T = ""bdbbacbc""",1,1,1,0.08410350516747152,0.03019788199003515,0,0,C,H,1
3,ilp_prod,4,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [9, 3, 9]
consumption (rows=resources) = [[2, 3, 2], [1, 3, 4], [1, 2, 4]]
capacity = [14, 15, 15]
upper_bounds = [7, 4, 3]",0,0,0,0.14067048488668737,0.16047652891441208,0,0,B,E,1
4,rod,8,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 8
P = [22, 10, 19, 19, 20, 8, 11, 9]",0,0,1,0.3269818486184392,0.044669040212714235,1,0,I,B,1
5,mul,4,Compute: 7146 * 4410,0,0,1,0.14251779288500438,0.058446772779209184,0,0,H,G,1
6,rod,2,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [5, 1]",0,0,0,0.07550851967854105,0.0964198324526964,0,0,F,F,1
7,ilp_prod,16,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [33, 6, 24, 7, 34, 8]
consumption (rows=resources) = [[13, 4, 8, 4, 12, 10], [14, 10, 9, 5, 2, 14], [11, 4, 11, 11, 13, 7], [3, 6, 12, 6, 2, 11]]
capacity = [36, 58, 32, 57]
upper_bounds = [3, 5, 3, 3, 3, 3]",0,0,0,0.07978393270457995,0.04437522274213977,0,0,H,D,1
8,ilp_partition,4,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [2, 5, 10, 3]",0,0,0,0.04974952849025372,0.2586225719416847,0,0,D,B,1
9,ilp_prod,8,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [15, 12, 22, 3]
consumption (rows=resources) = [[4, 6, 6, 6], [3, 7, 4, 7], [1, 1, 5, 4], [5, 3, 1, 7]]
capacity = [24, 23, 16, 17]
upper_bounds = [3, 3, 3, 3]",0,0,1,0.0486616890164854,0.04856598792136065,0,0,D,A,1
10,add,16,Compute: 3778805958221640 + 5611892501042810,0,1,1,0.141971463020308,0.17900520820455892,0,0,E,I,1
11,ilp_assign,4,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[12, 1, 7, 3], [4, 2, 10, 11], [3, 6, 5, 5], [8, 6, 9, 7]]",0,0,1,0.06233489006742577,0.1392887160072482,0,0,C,H,1
