Model,Coding-Average
GPT-5 High,75.31
GPT-5 Pro,72.17
GPT-5 Medium,73.25
Claude Sonnet 4.5 Thinking,80.36
GPT-5 Low,72.49
o3 Pro High,76.78
o3 High,76.71
GPT-5 Codex,69.61
Claude 4.1 Opus Thinking,73.96
Claude 4 Opus Thinking,73.25
GPT-5 Mini High,66.41
Grok 4,71.34
Claude 4 Sonnet Thinking,73.58
o3 Medium,77.86
o4-Mini High,79.98
Gemini 2.5 Pro (Max Thinking),73.90
Qwen 3 235B A22B Thinking 2507,67.18
DeepSeek V3.1 Thinking,70.31
GPT-5 Mini,72.87
DeepSeek R1 (2025-05-28),71.40
DeepSeek V3.1 Terminus Thinking,71.40
Gemini 2.5 Pro,70.70
Qwen 3 Max,71.78
Grok 4 Fast,66.41
Claude Sonnet 4.5,76.07
Claude 3.7 Sonnet Thinking,73.19
o4-Mini Medium,74.22
Qwen 3 Next 80B A3B Instruct,68.20
Claude 4 Opus,73.58
Qwen 3 Next 80B A3B Thinking,60.66
DeepSeek R1,76.07
Qwen 3 235B A22B Thinking,66.41
Qwen 3 235B A22B Instruct 2507,66.41
Gemini 2.5 Flash,63.53
GPT-5 Mini Low,66.35
DeepSeek V3.1 Terminus,69.61
Qwen 3 32B,64.24
GLM 4.5,60.33
Claude 4 Sonnet,78.25
Kimi K2 Instruct,71.78
DeepSeek V3.1,68.52
Grok 3 Mini Beta (High),54.52
GPT-5 Chat,76.78
Qwen 3 Coder 480B A35B Instruct,73.19
GLM 4.5 Air,57.78
Qwen 3 30B A3B,47.47
GPT-5 Nano,65.58
GPT-4.5 Preview,76.07
Claude 3.7 Sonnet,74.28
GPT-5 Nano High,60.59
Grok Code Fast,64.44
Gemini 2.5 Flash Lite Preview (Thinking),59.25
GPT-5 Minimal,70.76
Grok 3 Beta,73.58
DeepSeek V3 0324,68.91
GPT-4.1,73.19
ChatGPT-4o,77.48
GPT OSS 120b,58.80
GPT-5 Mini Minimal,67.50
Qwen2.5 Max,66.79
Claude 3.5 Sonnet,73.90
GPT-4.1 Mini,72.11
Mistral Medium 3,61.48
Phi-4 Reasoning Plus,60.59
DeepSeek R1 Distill Llama 70B,46.65
Llama 4 Maverick 17B 128E Instruct,54.19
GPT-4o,69.29
Gemini 2.0 Flash Lite,59.31
Grok 4 Fast (Non-Reasoning),61.42
GPT-5 Nano Low,50.93
Command A,54.26
Hunyuan Turbos,50.35
Mistral Large,62.89
Qwen2.5 72B Instruct Turbo,57.26
Gemma 3 27B,48.94
DeepSeek R1 Distill Qwen 32B,47.03
Mistral Small,49.65
GPT-4.1 Nano,63.92
Claude 3.5 Haiku,53.17
Gemma 3 12B,42.16
GPT-5 Nano Minimal,49.14
Command R Plus,27.13
Gemma 3n E4B IT,31.48
Command R,26.10
Gemma 3 4B,15.68
Gemma 3n E2B IT,16.44
