Model,Version,Pass@1
gpt-5-medium,gpt-5-2025-08-07,52.6
gpt-5-high,gpt-5-2025-08-07,51.6
gpt-5-low,gpt-5-2025-08-07,46.9
grok-4,grok-4-0709,31.7
gpt-5-mini-high,gpt-5-mini-2025-08-07,30.3
claude-opus-4-1,claude-opus-4-1-20250805,29.9
claude-sonnet-4,claude-sonnet-4-20250514,28.1
gpt-5-mini-medium,gpt-5-mini-2025-08-07,27.4
o3,o3-2025-04-16,25.4
kimi-k2-0905,kimi-k2-0905-preview,21.9
grok-code-fast-1,grok-code-fast-1,20.5
kimi-k2-0711,kimi-k2-0711-preview,19.1
qwen-3-max,qwen3-max-preview,17.7
o4-mini,o4-mini-2025-04-16,17.3
deepseek-chat,deepseek-v3.1-non-think,16.7
gemini-2-5-pro,gemini-2.5-pro,15.8
glm-4-5,glm-4.5,15.6
gemini-2-5-flash,gemini-2.5-flash,9.1
gpt-5-mini-low,gpt-5-mini-2025-08-07,8.3
gpt-4-1,gpt-4.1-2025-04-14,8.1
gpt-5-nano-medium,gpt-5-nano-2025-08-07,6.3
gpt-5-nano-high,gpt-5-nano-2025-08-07,5.1
gpt-oss-120b,gpt-oss-120b,4.7
gpt-5-nano-low,gpt-5-nano-2025-08-07,4.3
gpt-4-1-mini,gpt-4.1-mini-2025-04-14,3.9
gpt-4-1-nano,gpt-4.1-nano-2025-04-14,0.0
