kind,digits,N,acc_nl,acc_code,acc_exec
add,2,22,1.000000,1.000000,1.000000
add,4,23,0.652174,0.913043,1.000000
add,8,22,0.500000,0.772727,1.000000
add,16,22,0.545455,0.681818,1.000000
add,32,22,0.136364,0.272727,1.000000
ilp_assign,2,22,0.545455,0.681818,0.681818
ilp_assign,4,22,0.000000,0.000000,0.000000
ilp_assign,8,23,0.043478,0.000000,0.869565
ilp_assign,16,22,0.000000,0.000000,0.954545
ilp_assign,32,22,0.000000,0.045455,0.590909
ilp_partition,2,22,0.318182,0.500000,1.000000
ilp_partition,4,22,0.409091,0.227273,1.000000
ilp_partition,8,22,0.318182,0.272727,1.000000
ilp_partition,16,22,0.409091,0.272727,0.772727
ilp_partition,32,23,0.478261,0.434783,0.782609
ilp_prod,2,22,0.136364,0.136364,0.000000
ilp_prod,4,22,0.045455,0.090909,0.181818
ilp_prod,8,22,0.000000,0.045455,0.181818
ilp_prod,16,23,0.000000,0.000000,0.391304
ilp_prod,32,22,0.000000,0.000000,0.045455
knap,2,22,0.181818,0.272727,1.000000
knap,4,22,0.136364,0.000000,1.000000
knap,8,22,0.000000,0.000000,1.000000
knap,16,22,0.000000,0.000000,1.000000
knap,32,23,0.000000,0.000000,1.000000
lcs,2,23,0.826087,0.608696,1.000000
lcs,4,22,0.409091,0.454545,1.000000
lcs,8,22,0.363636,0.272727,1.000000
lcs,16,23,0.086957,0.304348,1.000000
lcs,32,22,0.000000,0.090909,1.000000
mul,2,23,0.434783,0.739130,1.000000
mul,4,23,0.000000,0.043478,1.000000
mul,8,22,0.000000,0.000000,0.954545
mul,16,22,0.000000,0.000000,0.909091
mul,32,22,0.000000,0.000000,1.000000
rod,2,22,0.454545,0.363636,0.045455
rod,4,22,0.000000,0.045455,0.863636
rod,8,22,0.000000,0.000000,0.545455
rod,16,22,0.000000,0.000000,0.818182
rod,32,22,0.000000,0.000000,1.000000
sub,2,22,0.954545,1.000000,1.000000
sub,4,22,1.000000,0.909091,1.000000
sub,8,22,0.863636,1.000000,1.000000
sub,16,23,0.434783,0.565217,1.000000
sub,32,22,0.136364,0.090909,1.000000
