kind,digits,N,acc_nl,acc_code,acc_exec
add,2,45,1.000000,1.000000,1.000000
add,4,45,0.488889,1.000000,1.000000
add,8,44,0.181818,0.818182,1.000000
add,16,46,0.043478,0.500000,1.000000
add,32,44,0.022727,0.431818,1.000000
ilp_assign,2,44,0.477273,0.500000,1.000000
ilp_assign,4,45,0.022222,0.066667,1.000000
ilp_assign,8,44,0.045455,0.000000,0.840909
ilp_assign,16,45,0.000000,0.000000,0.822222
ilp_assign,32,44,0.000000,0.000000,0.840909
ilp_partition,2,44,0.386364,0.295455,1.000000
ilp_partition,4,44,0.181818,0.250000,0.977273
ilp_partition,8,44,0.522727,0.113636,0.886364
ilp_partition,16,46,0.391304,0.326087,0.347826
ilp_partition,32,44,0.159091,0.295455,0.681818
ilp_prod,2,44,0.022727,0.068182,0.227273
ilp_prod,4,46,0.043478,0.021739,0.065217
ilp_prod,8,45,0.044444,0.000000,0.288889
ilp_prod,16,44,0.000000,0.000000,0.022727
ilp_prod,32,44,0.000000,0.000000,0.068182
knap,2,44,0.181818,0.068182,0.954545
knap,4,46,0.130435,0.000000,1.000000
knap,8,46,0.065217,0.000000,0.826087
knap,16,44,0.000000,0.000000,0.159091
knap,32,44,0.000000,0.000000,0.750000
lcs,2,44,0.909091,0.681818,1.000000
lcs,4,44,0.409091,0.227273,1.000000
lcs,8,44,0.477273,0.272727,1.000000
lcs,16,45,0.066667,0.200000,0.977778
lcs,32,44,0.000000,0.068182,0.977273
mul,2,44,0.636364,0.704545,1.000000
mul,4,44,0.000000,0.000000,1.000000
mul,8,45,0.000000,0.000000,1.000000
mul,16,44,0.000000,0.000000,1.000000
mul,32,44,0.000000,0.000000,0.931818
rod,2,44,0.386364,0.340909,0.113636
rod,4,44,0.000000,0.045455,0.681818
rod,8,45,0.000000,0.000000,0.866667
rod,16,44,0.000000,0.000000,0.954545
rod,32,45,0.000000,0.000000,0.088889
sub,2,44,0.954545,1.000000,1.000000
sub,4,44,0.795455,1.000000,1.000000
sub,8,44,0.613636,0.863636,1.000000
sub,16,45,0.111111,0.488889,1.000000
sub,32,44,0.000000,0.250000,1.000000
