kind,digits,N,acc_nl,acc_code,acc_exec
add,2,44,0.931818,1.000000,1.000000
add,4,44,0.659091,0.954545,0.977273
add,8,44,0.500000,0.613636,1.000000
add,16,44,0.090909,0.500000,1.000000
add,32,44,0.022727,0.340909,1.000000
ilp_assign,2,44,0.386364,0.477273,1.000000
ilp_assign,4,46,0.021739,0.043478,1.000000
ilp_assign,8,44,0.000000,0.000000,0.977273
ilp_assign,16,46,0.000000,0.000000,1.000000
ilp_assign,32,44,0.045455,0.000000,0.954545
ilp_partition,2,45,0.244444,0.266667,0.600000
ilp_partition,4,45,0.155556,0.088889,0.422222
ilp_partition,8,44,0.431818,0.090909,0.136364
ilp_partition,16,45,0.377778,0.066667,0.822222
ilp_partition,32,44,0.295455,0.431818,0.840909
ilp_prod,2,45,0.022222,0.155556,0.111111
ilp_prod,4,46,0.043478,0.108696,0.043478
ilp_prod,8,44,0.045455,0.000000,0.272727
ilp_prod,16,44,0.022727,0.000000,0.000000
ilp_prod,32,46,0.000000,0.000000,0.043478
knap,2,44,0.227273,0.022727,1.000000
knap,4,45,0.155556,0.000000,1.000000
knap,8,44,0.022727,0.000000,1.000000
knap,16,44,0.000000,0.000000,1.000000
knap,32,44,0.000000,0.000000,1.000000
lcs,2,44,0.818182,0.477273,1.000000
lcs,4,44,0.363636,0.181818,1.000000
lcs,8,44,0.477273,0.090909,1.000000
lcs,16,44,0.000000,0.022727,1.000000
lcs,32,44,0.000000,0.000000,1.000000
mul,2,44,0.454545,0.522727,1.000000
mul,4,46,0.000000,0.000000,1.000000
mul,8,44,0.000000,0.000000,1.000000
mul,16,44,0.000000,0.000000,1.000000
mul,32,44,0.000000,0.000000,1.000000
rod,2,44,0.522727,0.295455,0.590909
rod,4,46,0.413043,0.000000,0.934783
rod,8,44,0.022727,0.000000,1.000000
rod,16,44,0.000000,0.000000,1.000000
rod,32,44,0.000000,0.000000,0.977273
sub,2,45,0.911111,0.977778,1.000000
sub,4,45,0.933333,0.777778,1.000000
sub,8,44,0.863636,0.795455,1.000000
sub,16,44,0.340909,0.363636,1.000000
sub,32,45,0.066667,0.200000,1.000000
