idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_partition,2,1,0,0,3,0,"{'ok': True, 'value': 1, 'stdout': '1\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.12557530403137207}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [3, 2, 1, 3]"
1,mul,32,4797790800184157623196310856216290261418177230470418291179979570,480752697888480100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,480937346403342124825904536024449644444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,0,"{'ok': True, 'value': 4797790800184157623196310856216290261418177230470418291179979570, 'stdout': '4797790800184157623196310856216290261418177230470418291179979570\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07869887351989746}",1,Compute: 63227514061731025519725103275555 * 75881376508017102072177599540774
2,ilp_assign,4,13,8,0,24,0,"{'ok': True, 'value': 13, 'stdout': '13\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 1.6210780143737793}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[6, 5, 3, 6], [12, 1, 10, 12], [2, 3, 2, 12], [4, 10, 5, 10]]"
3,lcs,32,19,10,0,0,0,"{'ok': True, 'value': 19, 'stdout': '19\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.06973433494567871}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""cdcbddcdacccbdaccdbcbdaaaccbacac""
T = ""cddbacadaddbaaacbcdbcdcdcadcbcbd"""
4,ilp_partition,32,1,1,1,0,0,"{'ok': True, 'value': 1, 'stdout': '1\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.20155906677246094}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [14, 74, 46, 39, 17, 63, 93, 90, 37, 83, 45, 3, 33, 84, 95, 25, 64, 13, 27, 45, 87, 55, 38, 59]"
5,ilp_assign,16,66,105,0,105,0,"{'ok': True, 'value': 66, 'stdout': '66\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.37255048751831055}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[33, 22, 44, 11, 30, 48, 40], [7, 9, 1, 12, 28, 37, 3], [7, 27, 7, 48, 27, 30, 34], [25, 17, 9, 37, 4, 7, 39], [46, 38, 28, 41, 35, 23, 44], [24, 6, 1, 16, 1, 20, 5], [47, 35, 12, 38, 33, 40, 24]]"
6,add,32,131687827245793195195610303022672,133767927245885195204608302992672,0,131686827245793195205610303022672,0,"{'ok': True, 'value': 131687827245793195195610303022672, 'stdout': '131687827245793195195610303022672\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08160853385925293}",1,Compute: 44709789459440596614906017245262 + 86978037786352598580704285777410
7,ilp_prod,4,23,33,0,30,0,"{'ok': True, 'value': 6, 'stdout': 'Welcome to the CBC MILP Solver \nVersion: 2.10.3 \nBuild Date: Dec 15 2019 \n\ncommand line - /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/apis/../solverdir/cbc/linux/i64/cbc /tmp/3c5f5dba8a5548f59f6281f9d3501543-pulp.mps -max -timeMode elapsed -branch -printingOptions all -solution /tmp/3c5f5dba8a5548f59f6281f9d3501543-pulp.sol (default strategy 1)\nAt line 2 NAME          MODEL\nAt line 3 ROWS\nAt line 8 COLUMNS\nAt line 27 RHS\nAt line 31 BOUNDS\nAt line 35 ENDATA\nProblem MODEL has 3 rows, 3 columns and 9 elements\nCoin0008I MODEL read with 0 errors\nOption for timeMode changed from cpu to elapsed\nContinuous objective value is 6 - 0.00 seconds\nCgl0004I processed model has 0 rows, 0 columns (0 integer (0 of which binary)) and 0 elements\nCbc3007W No integer variables - nothing to do\nCuts at root node changed objective from -6 to -1.79769e+308\nProbing was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nGomory was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nKnapsack was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nClique was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nMixedIntegerRounding2 was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nFlowCover was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nTwoMirCuts was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nZeroHalf was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\n\nResult - Optimal solution found\n\nObjective value:                6.00000000\nEnumerated nodes:               0\nTotal iterations:               0\nTime (CPU seconds):             0.00\nTime (Wallclock seconds):       0.00\n\nOption for printingOptions changed from normal to all\nTotal time (CPU seconds):       0.00   (Wallclock seconds):       0.00\n\n6.0\n', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\n', 'retcode': 0, 'timeout': False, 'duration_s': 0.20275092124938965}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [3, 3, 10]
consumption (rows=resources) = [[3, 1, 3], [1, 3, 4], [3, 2, 3]]
capacity = [10, 12, 8]
upper_bounds = [3, 4, 3]"
8,ilp_assign,2,7,8,0,7,1,"{'ok': True, 'value': 7, 'stdout': '7\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.3993821144104004}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[4, 4], [6, 3]]"
9,ilp_partition,32,0,1,0,90,0,"{'ok': True, 'value': 0, 'stdout': '0\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.20116686820983887}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [5, 55, 91, 95, 94, 41, 11, 45, 91, 74, 74, 39, 23, 66, 25, 46, 78, 5, 90, 63, 30, 72, 71, 64]"
