idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_assign,16,44,115,0,114,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '', 'retcode': -9, 'timeout': False, 'duration_s': 2.4710521697998047}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[46, 31, 6, 44, 32, 15, 35], [26, 18, 41, 2, 8, 18, 43], [3, 1, 17, 26, 34, 38, 46], [26, 29, 7, 48, 17, 23, 19], [44, 13, 39, 6, 3, 5, 17], [20, 35, 22, 8, 34, 16, 11], [5, 27, 19, 19, 34, 9, 37]]"
1,ilp_assign,32,113,10,0,110,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '', 'retcode': -9, 'timeout': False, 'duration_s': 2.047668218612671}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[82, 51, 35, 33, 56, 46, 79], [42, 12, 40, 4, 64, 2, 33], [26, 51, 50, 56, 82, 81, 87], [50, 90, 5, 75, 60, 46, 73], [17, 73, 91, 36, 42, 4, 51], [61, 67, 18, 6, 11, 73, 45], [47, 1, 9, 25, 92, 15, 86]]"
2,sub,16,228302551638673,228302551648673,0,228301551638673,0,"{'ok': True, 'value': 228302551638673, 'stdout': '228302551638673\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09547162055969238}",1,Compute: 1365979018727553 - 1137676467088880
3,rod,4,24,12,0,10,0,"{'ok': True, 'value': 24, 'stdout': '24\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09333610534667969}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 4
P = [6, 7, 1, 2]"
4,ilp_assign,8,45,115,0,564,0,"{'ok': True, 'value': 45, 'stdout': '45\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 1.1535794734954834}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[4, 3, 23, 1, 17, 15, 22], [7, 4, 16, 13, 9, 7, 21], [2, 7, 20, 5, 4, 7, 15], [13, 12, 18, 5, 4, 20, 16], [5, 19, 13, 21, 22, 14, 17], [16, 22, 11, 16, 16, 21, 22], [7, 18, 20, 8, 1, 11, 23]]"
5,ilp_prod,4,28,27,0,0,0,"{'ok': True, 'value': 29, 'stdout': 'Welcome to the CBC MILP Solver \nVersion: 2.10.3 \nBuild Date: Dec 15 2019 \n\ncommand line - /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/apis/../solverdir/cbc/linux/i64/cbc /tmp/897f671655d14d5caff23e813649766c-pulp.mps -max -timeMode elapsed -branch -printingOptions all -solution /tmp/897f671655d14d5caff23e813649766c-pulp.sol (default strategy 1)\nAt line 2 NAME          MODEL\nAt line 3 ROWS\nAt line 8 COLUMNS\nAt line 21 RHS\nAt line 25 BOUNDS\nAt line 29 ENDATA\nProblem MODEL has 3 rows, 3 columns and 9 elements\nCoin0008I MODEL read with 0 errors\nOption for timeMode changed from cpu to elapsed\nPresolve 3 (0) rows, 3 (0) columns and 9 (0) elements\n0  Obj -0 Dual inf 14 (3)\n2  Obj 29.8\nOptimal - objective value 29.8\nOptimal objective 29.8 - 2 iterations time 0.002\nOption for printingOptions changed from normal to all\nTotal time (CPU seconds):       0.00   (Wallclock seconds):       0.00\n\n29.799999999999997\n', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\n', 'retcode': 0, 'timeout': False, 'duration_s': 0.22511935234069824}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [5, 6, 3]
consumption (rows=resources) = [[1, 1, 1], [2, 1, 4], [1, 3, 1]]
capacity = [8, 8, 11]
upper_bounds = [4, 3, 3]"
6,rod,8,84,24,0,27,0,"{'ok': True, 'value': 84, 'stdout': '84\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09285354614257812}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 8
P = [5, 21, 17, 21, 21, 12, 4, 5]"
7,sub,4,5636,5636,1,5636,1,"{'ok': True, 'value': 5636, 'stdout': '5636\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09223198890686035}",1,Compute: 9965 - 4329
8,mul,16,5727944462022541928458085852017,4680898051786406,0,5844037418434468979886356536566367,0,"{'ok': True, 'value': 5727944462022541928458085852017, 'stdout': '5727944462022541928458085852017\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09557080268859863}",1,Compute: 2447369025893203 * 2340449846925739
9,sub,8,73573313,73573313,1,73573313,1,"{'ok': True, 'value': 73573313, 'stdout': '73573313\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09160923957824707}",1,Compute: 85242487 - 11669174
10,sub,2,3,3,1,3,1,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09523606300354004}",1,Compute: 75 - 72
11,knap,4,17,16,0,15,0,"{'ok': True, 'value': 17, 'stdout': '17\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09414887428283691}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [2, 8, 6, 4]
V = [8, 1, 9, 4]
C = 10"
12,add,8,46632018,46632018,1,46632018,1,"{'ok': True, 'value': 46632018, 'stdout': '46632018\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09245419502258301}",1,Compute: 12863820 + 33768198
13,rod,2,5,2,0,5,1,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_6e81qfy_/main.py"", line 10, in <module>\n    res = rod_cutting(N, P)\n  File ""/tmp/cot_exec_6e81qfy_/main.py"", line 5, in rod_cutting\n    dp[i] = max(dp[i], P[cut] + dp[i - cut])\nIndexError: list index out of range\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.09140205383300781}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [1, 5]"
14,mul,4,30759404,31442364,0,31330434,0,"{'ok': True, 'value': 30759404, 'stdout': '30759404\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10303544998168945}",1,Compute: 6194 * 4966
15,rod,16,160,54,0,64,0,"{'ok': True, 'value': 160, 'stdout': '160\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11112833023071289}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [10, 12, 30, 8, 31, 23, 46, 17, 9, 2, 14, 24, 22, 31, 19, 19]"
