idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_prod,4,77,77,1,3,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'terminate called without an active exception\n', 'retcode': -6, 'timeout': False, 'duration_s': 1.7504608631134033}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [3, 11, 6]
consumption (rows=resources) = [[1, 2, 4], [4, 1, 1], [4, 1, 1]]
capacity = [15, 8, 16]
upper_bounds = [3, 7, 3]"
1,rod,16,640,64,0,0,0,"{'ok': True, 'value': 640, 'stdout': '640\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10395526885986328}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [40, 38, 47, 45, 48, 5, 32, 48, 16, 41, 42, 19, 41, 2, 27, 47]"
2,add,16,7374039207952083,7373939207952083,0,7374039207942083,0,"{'ok': True, 'value': 7374039207952083, 'stdout': '7374039207952083\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07887911796569824}",1,Compute: 4050461164153567 + 3323578043798516
3,lcs,8,5,3,0,0,0,"{'ok': True, 'value': 5, 'stdout': '5\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08497476577758789}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""accbdcba""
T = ""abdbadbca"""
4,ilp_prod,32,537,The actual answer will be the total profit obtained from the optimal solution.,0,102,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'terminate called without an active exception\n', 'retcode': -6, 'timeout': False, 'duration_s': 0.38625192642211914}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [28, 67, 75, 87, 42, 57]
consumption (rows=resources) = [[21, 1, 2, 20, 15, 6], [15, 18, 22, 18, 25, 2], [8, 22, 23, 9, 8, 17], [10, 3, 23, 5, 6, 7]]
capacity = [102, 104, 95, 98]
upper_bounds = [4, 4, 4, 5, 4, 5]"
5,knap,16,391,121,0,1,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_y41l6jwk/main.py"", line 14, in <module>\n    output = f([8, 28, 27, 8, 19, 18, 16, 25, 1, 13, 29, 2, 2, 16, 17, 14],\n  File ""/tmp/cot_exec_y41l6jwk/main.py"", line 5, in f\n    prob = pulp.LpProblem(""knapsack"", pulp.LPMaximize)\nAttributeError: module \'pulp\' has no attribute \'LPMaximize\'. Did you mean: \'LpMaximize\'?\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.21477007865905762}",0,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [8, 28, 27, 8, 19, 18, 16, 25, 1, 13, 29, 2, 2, 16, 17, 14]
V = [23, 37, 19, 26, 35, 40, 33, 58, 22, 46, 63, 54, 16, 27, 50, 27]
C = 121"
6,ilp_assign,16,47,11,0,3,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_vjzrgz1r/main.py"", line 15, in <module>\n    output = f(C)\n  File ""/tmp/cot_exec_vjzrgz1r/main.py"", line 10, in f\n    C[:,j] = [x - np.min(C[:,j]) for x in C[:,j]]\nTypeError: list indices must be integers or slices, not tuple\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.19958209991455078}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[12, 7, 15, 26, 15, 32, 29], [25, 11, 15, 16, 19, 30, 36], [38, 25, 14, 29, 46, 17, 22], [32, 38, 8, 14, 6, 3, 1], [1, 31, 21, 25, 38, 19, 13], [26, 11, 42, 10, 2, 1, 25], [10, 43, 35, 4, 37, 25, 17]]"
7,sub,4,2977,2977,1,2977,1,"{'ok': True, 'value': 2977, 'stdout': '2977\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08661508560180664}",1,Compute: 9991 - 7014
8,rod,32,848,1035,0,0,0,"{'ok': True, 'value': 848, 'stdout': '848\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.0868535041809082}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 32
P = [25, 53, 72, 81, 77, 8, 69, 78, 66, 20, 53, 35, 36, 62, 90, 40, 35, 63, 28, 64, 48, 77, 61, 31, 44, 23, 78, 24, 95, 75, 89, 58]"
9,knap,8,68,142,0,0,0,"{'ok': True, 'value': 68, 'stdout': '68\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08314895629882812}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [5, 11, 14, 7, 9, 4, 13, 12]
V = [32, 16, 5, 3, 6, 9, 11, 11]
C = 37"
10,knap,8,99,142,0,0,0,"{'ok': True, 'value': 99, 'stdout': '99\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09589433670043945}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [7, 9, 11, 9, 12, 11, 11, 4]
V = [19, 16, 32, 9, 7, 21, 3, 27]
C = 37"
11,ilp_assign,32,89,,0,-1,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[70, 3, 33, 69, 35, 68, 34], [61, 17, 52, 91, 14, 96, 48], [9, 84, 70, 47, 70, 72, 93], [65, 88, 75, 4, 80, 40, 58], [88, 17, 20, 10, 75, 19, 87], [28, 62, 43, 47, 38, 21, 20], [49, 57, 52, 16, 77, 19, 35]]"
12,ilp_prod,4,60,2,0,4,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'terminate called without an active exception\n', 'retcode': -6, 'timeout': False, 'duration_s': 0.3713836669921875}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [4, 12, 5]
consumption (rows=resources) = [[3, 3, 1], [2, 2, 3], [2, 3, 3]]
capacity = [15, 13, 15]
upper_bounds = [5, 5, 4]"
