idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_assign,16,44,11,0,11,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_iqumpvvw/main.py"", line 89, in <module>\n    res = hungarian(C)\n  File ""/tmp/cot_exec_iqumpvvw/main.py"", line 36, in hungarian\n    k = min(min(cost_matrix))\nValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.690997838973999}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[46, 31, 6, 44, 32, 15, 35], [26, 18, 41, 2, 8, 18, 43], [3, 1, 17, 26, 34, 38, 46], [26, 29, 7, 48, 17, 23, 19], [44, 13, 39, 6, 3, 5, 17], [20, 35, 22, 8, 34, 16, 11], [5, 27, 19, 19, 34, 9, 37]]"
1,ilp_assign,32,113,105,0,1,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_fiicmtkx/main.py"", line 96, in <module>\n    min_cost = hungarian(C)\n  File ""/tmp/cot_exec_fiicmtkx/main.py"", line 42, in hungarian\n    min_uncov_value = min([min(cost_matrix[i][j] for j in range(n) if not col_covered[j]) for i in range(n) if not row_covered[i]])\nValueError: min() arg is an empty sequence\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.23056364059448242}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[82, 51, 35, 33, 56, 46, 79], [42, 12, 40, 4, 64, 2, 33], [26, 51, 50, 56, 82, 81, 87], [50, 90, 5, 75, 60, 46, 73], [17, 73, 91, 36, 42, 4, 51], [61, 67, 18, 6, 11, 73, 45], [47, 1, 9, 25, 92, 15, 86]]"
2,sub,16,228302551638673,228302551638673,1,2283015516336673,0,"{'ok': True, 'value': 228302551638673, 'stdout': '228302551638673\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09443783760070801}",1,Compute: 1365979018727553 - 1137676467088880
3,rod,4,24,14,0,9,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_jhb8lkn6/main.py"", line 11, in <module>\n    res = rod_cutting(N, P)\n  File ""/tmp/cot_exec_jhb8lkn6/main.py"", line 6, in rod_cutting\n    dp[i] = max(dp[i], dp[i - j] + P[j])\nIndexError: list index out of range\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.09444284439086914}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 4
P = [6, 7, 1, 2]"
4,ilp_assign,8,45,48,0,23,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_44etg6ji/main.py"", line 64, in <module>\n    cost = hungarian(np.array(C))\n  File ""/tmp/cot_exec_44etg6ji/main.py"", line 54, in hungarian\n    assignment[min_row] = min_col\nIndexError: index 37 is out of bounds for axis 0 with size 7\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.21456265449523926}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[4, 3, 23, 1, 17, 15, 22], [7, 4, 16, 13, 9, 7, 21], [2, 7, 20, 5, 4, 7, 15], [13, 12, 18, 5, 4, 20, 16], [5, 19, 13, 21, 22, 14, 17], [16, 22, 11, 16, 16, 21, 22], [7, 18, 20, 8, 1, 11, 23]]"
5,ilp_prod,4,28,The final answer will be the maximum profit.,0,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\nTraceback (most recent call last):\n  File ""/tmp/cot_exec_1khmjwt4/main.py"", line 7, in <module>\n    x = [LpVariable(""x_%s"" % j, 0, upper_bounds[j]) for j in range(len(profit))]\nNameError: name \'profit\' is not defined\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.254896879196167}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [5, 6, 3]
consumption (rows=resources) = [[1, 1, 1], [2, 1, 4], [1, 3, 1]]
capacity = [8, 8, 11]
upper_bounds = [4, 3, 3]"
6,rod,8,84,22,0,33,0,"{'ok': True, 'value': 84, 'stdout': '84\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10360431671142578}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 8
P = [5, 21, 17, 21, 21, 12, 4, 5]"
7,sub,4,5636,5636,1,5636,1,"{'ok': True, 'value': 5636, 'stdout': '5636\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08674979209899902}",1,Compute: 9965 - 4329
8,mul,16,5727944462022541928458085852017,7,0,5996403782567585000,0,"{'ok': True, 'value': 5727944462022541928458085852017, 'stdout': '5727944462022541928458085852017\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10118985176086426}",1,Compute: 2447369025893203 * 2340449846925739
9,sub,8,73573313,73573313,1,73573313,1,"{'ok': True, 'value': 73573313, 'stdout': '73573313\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09229350090026855}",1,Compute: 85242487 - 11669174
10,sub,2,3,3,1,3,1,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09451079368591309}",1,Compute: 75 - 72
11,knap,4,17,15,0,15,0,"{'ok': True, 'value': 17, 'stdout': '17\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11229300498962402}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [2, 8, 6, 4]
V = [8, 1, 9, 4]
C = 10"
12,add,8,46632018,46632018,1,46632018,1,"{'ok': True, 'value': 46632018, 'stdout': '46632018\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09296345710754395}",1,Compute: 12863820 + 33768198
13,rod,2,5,5,1,5,1,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10573315620422363}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [1, 5]"
14,mul,4,30759404,31354944,0,30993904,0,"{'ok': True, 'value': 30759404, 'stdout': '30759404\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10428190231323242}",1,Compute: 6194 * 4966
15,rod,16,160,46,0,46,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_dbfc8vzx/main.py"", line 11, in <module>\n    res = rod_cutting(N, P)\n  File ""/tmp/cot_exec_dbfc8vzx/main.py"", line 6, in rod_cutting\n    dp[i] = max(dp[i], dp[i - j] + P[j])\nIndexError: list index out of range\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.11636185646057129}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [10, 12, 30, 8, 31, 23, 46, 17, 9, 2, 14, 24, 22, 31, 19, 19]"
