kind,digits,N,acc_nl,acc_code,acc_exec
add,2,44,0.977273,1.000000,1.000000
add,4,45,0.644444,0.933333,0.911111
add,8,45,0.400000,0.622222,0.688889
add,16,45,0.000000,0.088889,0.600000
add,32,44,0.000000,0.000000,0.500000
ilp_assign,2,44,0.318182,0.068182,0.000000
ilp_assign,4,45,0.022222,0.000000,0.977778
ilp_assign,8,44,0.000000,0.000000,1.000000
ilp_assign,16,44,0.000000,0.000000,0.886364
ilp_assign,32,44,0.000000,0.000000,0.477273
ilp_partition,2,44,0.545455,0.181818,0.500000
ilp_partition,4,44,0.545455,0.272727,0.227273
ilp_partition,8,46,0.173913,0.369565,0.369565
ilp_partition,16,44,0.227273,0.272727,0.477273
ilp_partition,32,45,0.044444,0.244444,0.111111
ilp_prod,2,44,0.045455,0.204545,0.000000
ilp_prod,4,44,0.022727,0.000000,0.000000
ilp_prod,8,45,0.022222,0.000000,0.000000
ilp_prod,16,45,0.000000,0.000000,0.066667
ilp_prod,32,44,0.000000,0.000000,0.000000
knap,2,45,0.133333,0.066667,1.000000
knap,4,44,0.000000,0.000000,1.000000
knap,8,44,0.000000,0.000000,1.000000
knap,16,44,0.000000,0.000000,1.000000
knap,32,44,0.000000,0.000000,1.000000
lcs,2,44,0.681818,0.386364,1.000000
lcs,4,46,0.304348,0.326087,1.000000
lcs,8,45,0.177778,0.000000,1.000000
lcs,16,45,0.111111,0.000000,0.888889
lcs,32,44,0.022727,0.000000,0.954545
mul,2,44,0.931818,0.568182,1.000000
mul,4,45,0.155556,0.000000,1.000000
mul,8,44,0.000000,0.000000,0.636364
mul,16,45,0.000000,0.000000,0.044444
mul,32,45,0.000000,0.000000,0.133333
rod,2,44,0.431818,0.250000,0.250000
rod,4,44,0.022727,0.000000,1.000000
rod,8,45,0.000000,0.000000,1.000000
rod,16,44,0.000000,0.000000,0.977273
rod,32,44,0.000000,0.000000,0.431818
sub,2,44,1.000000,1.000000,1.000000
sub,4,44,0.818182,0.931818,0.977273
sub,8,44,0.340909,0.431818,1.000000
sub,16,44,0.090909,0.159091,0.977273
sub,32,46,0.000000,0.000000,0.782609
