kind,digits,N,acc_nl,acc_code,acc_exec
add,2,44,0.045455,0.000000,0.000000
add,4,45,0.000000,0.000000,0.000000
add,8,45,0.000000,0.000000,0.000000
add,16,45,0.000000,0.000000,0.000000
add,32,44,0.000000,0.000000,0.000000
ilp_assign,2,44,0.113636,0.000000,0.000000
ilp_assign,4,45,0.000000,0.000000,0.000000
ilp_assign,8,44,0.000000,0.000000,0.000000
ilp_assign,16,44,0.000000,0.000000,0.000000
ilp_assign,32,44,0.000000,0.000000,0.000000
ilp_partition,2,44,0.022727,0.159091,0.000000
ilp_partition,4,44,0.090909,0.181818,0.000000
ilp_partition,8,46,0.108696,0.326087,0.000000
ilp_partition,16,44,0.136364,0.318182,0.000000
ilp_partition,32,45,0.200000,0.222222,0.000000
ilp_prod,2,44,0.000000,0.000000,0.000000
ilp_prod,4,44,0.000000,0.000000,0.000000
ilp_prod,8,45,0.000000,0.000000,0.000000
ilp_prod,16,45,0.000000,0.000000,0.000000
ilp_prod,32,44,0.000000,0.000000,0.000000
knap,2,45,0.000000,0.000000,0.000000
knap,4,44,0.000000,0.000000,0.000000
knap,8,44,0.000000,0.000000,0.000000
knap,16,44,0.000000,0.000000,0.000000
knap,32,44,0.000000,0.000000,0.000000
lcs,2,44,0.159091,0.340909,0.000000
lcs,4,46,0.043478,0.152174,0.000000
lcs,8,45,0.022222,0.000000,0.000000
lcs,16,45,0.000000,0.000000,0.000000
lcs,32,44,0.000000,0.000000,0.000000
mul,2,44,0.000000,0.000000,0.000000
mul,4,45,0.000000,0.000000,0.000000
mul,8,44,0.000000,0.000000,0.000000
mul,16,45,0.000000,0.000000,0.000000
mul,32,45,0.000000,0.000000,0.000000
rod,2,44,0.000000,0.000000,0.000000
rod,4,44,0.000000,0.000000,0.000000
rod,8,45,0.000000,0.000000,0.000000
rod,16,44,0.000000,0.000000,0.000000
rod,32,44,0.000000,0.000000,0.000000
sub,2,44,0.045455,0.022727,0.000000
sub,4,44,0.000000,0.000000,0.000000
sub,8,44,0.000000,0.000000,0.000000
sub,16,44,0.000000,0.000000,0.000000
sub,32,46,0.000000,0.000000,0.000000
