kind,digits,N,acc_nl,acc_code,acc_exec
add,2,1,1.000000,1.000000,1.000000
add,4,1,0.000000,1.000000,1.000000
add,8,1,0.000000,1.000000,1.000000
add,16,1,0.000000,1.000000,1.000000
add,32,1,0.000000,0.000000,1.000000
ilp_assign,2,1,1.000000,0.000000,0.000000
ilp_assign,4,1,0.000000,0.000000,0.000000
ilp_assign,8,1,0.000000,0.000000,0.000000
ilp_assign,16,1,0.000000,0.000000,0.000000
ilp_assign,32,1,0.000000,0.000000,0.000000
ilp_partition,2,1,0.000000,0.000000,0.000000
ilp_partition,4,1,0.000000,0.000000,1.000000
ilp_partition,8,1,1.000000,1.000000,0.000000
ilp_partition,16,1,0.000000,0.000000,0.000000
ilp_partition,32,1,0.000000,0.000000,0.000000
ilp_prod,2,1,0.000000,0.000000,0.000000
ilp_prod,4,1,0.000000,0.000000,0.000000
ilp_prod,8,1,0.000000,0.000000,0.000000
ilp_prod,16,1,0.000000,0.000000,0.000000
ilp_prod,32,1,0.000000,0.000000,0.000000
knap,2,1,1.000000,0.000000,1.000000
knap,4,1,0.000000,0.000000,1.000000
knap,8,1,0.000000,0.000000,1.000000
knap,16,1,0.000000,0.000000,1.000000
knap,32,1,0.000000,0.000000,0.000000
lcs,2,1,1.000000,0.000000,1.000000
lcs,4,1,0.000000,0.000000,1.000000
lcs,8,1,1.000000,1.000000,1.000000
lcs,16,1,0.000000,0.000000,1.000000
lcs,32,1,0.000000,0.000000,1.000000
mul,2,1,1.000000,1.000000,1.000000
mul,4,2,0.000000,0.000000,1.000000
mul,8,1,0.000000,0.000000,1.000000
mul,16,1,0.000000,0.000000,1.000000
mul,32,1,0.000000,0.000000,1.000000
rod,2,1,1.000000,0.000000,0.000000
rod,4,1,0.000000,0.000000,1.000000
rod,8,2,0.000000,0.000000,1.000000
rod,16,3,0.000000,0.000000,1.000000
rod,32,1,0.000000,0.000000,1.000000
sub,2,2,1.000000,1.000000,1.000000
sub,4,1,0.000000,1.000000,1.000000
sub,8,1,0.000000,0.000000,1.000000
sub,16,1,0.000000,0.000000,1.000000
sub,32,1,0.000000,0.000000,1.000000
