idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_assign,16,44,Cannot be determined without implementing the Hungarian Algorithm,0,108,0,"{'ok': True, 'value': -29, 'stdout': '-29\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.1593165397644043}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[46, 31, 6, 44, 32, 15, 35], [26, 18, 41, 2, 8, 18, 43], [3, 1, 17, 26, 34, 38, 46], [26, 29, 7, 48, 17, 23, 19], [44, 13, 39, 6, 3, 5, 17], [20, 35, 22, 8, 34, 16, 11], [5, 27, 19, 19, 34, 9, 37]]"
1,ilp_assign,32,113,,0,224,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_lt6qz25_/main.py"", line 24, in <module>\n    min_cost = hungarian(C)\n  File ""/tmp/cot_exec_lt6qz25_/main.py"", line 4, in hungarian\n    n = C.shape[0]\nAttributeError: \'list\' object has no attribute \'shape\'\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.6104450225830078}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[82, 51, 35, 33, 56, 46, 79], [42, 12, 40, 4, 64, 2, 33], [26, 51, 50, 56, 82, 81, 87], [50, 90, 5, 75, 60, 46, 73], [17, 73, 91, 36, 42, 4, 51], [61, 67, 18, 6, 11, 73, 45], [47, 1, 9, 25, 92, 15, 86]]"
2,sub,16,228302551638673,228202551713873,0,228202552063873,0,"{'ok': True, 'value': 228302551638673, 'stdout': '228302551638673\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.17102742195129395}",1,Compute: 1365979018727553 - 1137676467088880
3,rod,4,24,21,0,10,0,"{'ok': True, 'value': 24, 'stdout': '24\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10089302062988281}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 4
P = [6, 7, 1, 2]"
4,ilp_assign,8,45, ,0,23,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '  File ""/tmp/cot_exec_jcwpbba4/main.py"", line 11\n    while not all(row_covered) or not all(col_covered):\n    ^\nIndentationError: expected an indented block after function definition on line 7\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.09761667251586914}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[4, 3, 23, 1, 17, 15, 22], [7, 4, 16, 13, 9, 7, 21], [2, 7, 20, 5, 4, 7, 15], [13, 12, 18, 5, 4, 20, 16], [5, 19, 13, 21, 22, 14, 17], [16, 22, 11, 16, 16, 21, 22], [7, 18, 20, 8, 1, 11, 23]]"
5,ilp_prod,4,28,Cannot be determined without using a linear programming algorithm.,0,27,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\nTraceback (most recent call last):\n  File ""/tmp/cot_exec_vedbf6we/main.py"", line 10, in <module>\n    prob += lpSum(profit[i] * x[i] for i in range(3)), ""Total Profit""\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py"", line 2469, in lpSum\n    return LpAffineExpression().addInPlace(vector)\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/pulp.py"", line 968, in addInPlace\n    for e in other:\n  File ""/tmp/cot_exec_vedbf6we/main.py"", line 10, in <genexpr>\n    prob += lpSum(profit[i] * x[i] for i in range(3)), ""Total Profit""\nNameError: name \'profit\' is not defined\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.25688648223876953}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [5, 6, 3]
consumption (rows=resources) = [[1, 1, 1], [2, 1, 4], [1, 3, 1]]
capacity = [8, 8, 11]
upper_bounds = [4, 3, 3]"
6,rod,8,84,37,0,48,0,"{'ok': True, 'value': 84, 'stdout': '84\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09694409370422363}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 8
P = [5, 21, 17, 21, 21, 12, 4, 5]"
7,sub,4,5636,5636,1,5636,1,"{'ok': True, 'value': 5636, 'stdout': '5636\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10800528526306152}",1,Compute: 9965 - 4329
8,mul,16,5727944462022541928458085852017,5729797696972972547,0,1,0,"{'ok': True, 'value': 5727944462022541928458085852017, 'stdout': '5727944462022541928458085852017\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09781765937805176}",1,Compute: 2447369025893203 * 2340449846925739
9,sub,8,73573313,73573313,1,73573313,1,"{'ok': True, 'value': 73573313, 'stdout': '73573313\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10821032524108887}",1,Compute: 85242487 - 11669174
10,sub,2,3,3,1,3,1,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11062812805175781}",1,Compute: 75 - 72
11,knap,4,17,To be determined by filling out the dynamic programming table,0,17,1,"{'ok': True, 'value': 17, 'stdout': '17\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10750269889831543}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [2, 8, 6, 4]
V = [8, 1, 9, 4]
C = 10"
12,add,8,46632018,461308,0,46632018,1,"{'ok': True, 'value': 46632018, 'stdout': '46632018\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10920238494873047}",1,Compute: 12863820 + 33768198
13,rod,2,5,5,1,5,1,"{'ok': True, 'value': 5, 'stdout': '5\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10962891578674316}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [1, 5]"
14,mul,4,30759404,16000,0,30892644,0,"{'ok': True, 'value': 30759404, 'stdout': '30759404\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11462950706481934}",1,Compute: 6194 * 4966
