kind,digits,N,acc_nl,acc_code,acc_exec
add,2,22,1.000000,1.000000,0.363636
add,4,23,0.826087,0.913043,0.478261
add,8,22,0.545455,0.409091,0.727273
add,16,22,0.000000,0.000000,0.409091
add,32,22,0.000000,0.000000,0.272727
ilp_assign,2,22,0.954545,0.863636,0.409091
ilp_assign,4,22,0.136364,0.000000,0.181818
ilp_assign,8,23,0.000000,0.000000,0.043478
ilp_assign,16,22,0.000000,0.000000,0.000000
ilp_assign,32,22,0.000000,0.000000,0.136364
ilp_partition,2,22,0.954545,0.545455,0.636364
ilp_partition,4,22,0.863636,0.363636,0.545455
ilp_partition,8,22,0.863636,0.181818,0.454545
ilp_partition,16,22,0.136364,0.136364,0.500000
ilp_partition,32,23,0.173913,0.260870,0.521739
ilp_prod,2,22,0.636364,0.454545,0.181818
ilp_prod,4,22,0.181818,0.045455,0.000000
ilp_prod,8,22,0.000000,0.000000,0.090909
ilp_prod,16,23,0.000000,0.043478,0.130435
ilp_prod,32,22,0.000000,0.000000,0.000000
knap,2,22,0.909091,0.863636,0.318182
knap,4,22,0.909091,0.727273,0.318182
knap,8,22,0.136364,0.000000,0.090909
knap,16,22,0.000000,0.000000,0.090909
knap,32,23,0.000000,0.000000,0.173913
lcs,2,23,0.913043,0.739130,0.826087
lcs,4,22,0.681818,0.636364,0.636364
lcs,8,22,0.136364,0.136364,0.818182
lcs,16,23,0.130435,0.043478,0.826087
lcs,32,22,0.000000,0.045455,0.818182
mul,2,23,0.956522,0.956522,0.000000
mul,4,23,0.565217,0.347826,0.130435
mul,8,22,0.000000,0.000000,0.363636
mul,16,22,0.000000,0.000000,0.590909
mul,32,22,0.000000,0.000000,0.727273
rod,2,22,0.636364,0.318182,0.181818
rod,4,22,0.636364,0.363636,0.227273
rod,8,22,0.454545,0.090909,0.272727
rod,16,22,0.000000,0.000000,0.409091
rod,32,22,0.000000,0.000000,0.318182
sub,2,22,1.000000,1.000000,0.136364
sub,4,22,0.909091,0.954545,0.318182
sub,8,22,0.409091,0.454545,0.772727
sub,16,23,0.043478,0.043478,0.739130
sub,32,22,0.000000,0.000000,0.590909
