idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,rod,16,352,100,0,46,0,"{'ok': True, 'value': 352, 'stdout': '352\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.15203285217285156}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 16
P = [22, 37, 4, 6, 33, 34, 17, 9, 17, 22, 28, 8, 48, 26, 45, 1]"
1,sub,4,2175,2175,1,2175,1,"{'ok': True, 'value': 2175, 'stdout': '2175\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08115959167480469}",1,Compute: 9905 - 7730
2,ilp_partition,4,6,14,0,1,0,"{'ok': True, 'value': 6, 'stdout': '6\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07933259010314941}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [11, 11, 5, 11]"
3,ilp_assign,16,105,56,0,105,1,"{'ok': True, 'value': 105, 'stdout': '105\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 1.7777855396270752}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[13, 30, 2, 21, 25, 8, 44], [26, 12, 25, 40, 47, 35, 48], [28, 20, 12, 27, 36, 18, 42], [34, 8, 27, 48, 47, 6, 23], [41, 1, 35, 31, 19, 47, 25], [37, 29, 41, 32, 23, 31, 33], [33, 16, 2, 24, 15, 16, 20]]"
4,add,16,7710349994693310,7710349995092310,0,7710349995093310,0,"{'ok': True, 'value': 7710349994693310, 'stdout': '7710349994693310\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08742880821228027}",1,Compute: 1550168928425851 + 6160181066267459
5,sub,4,553,553,1,553,1,"{'ok': True, 'value': 553, 'stdout': '553\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09284162521362305}",1,Compute: 3573 - 3020
6,sub,16,2793905415068721,2793905415068721,1,2793905415068721,1,"{'ok': True, 'value': 2793905415068721, 'stdout': '2793905415068721\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07904958724975586}",1,Compute: 8928991557295045 - 6135086142226324
7,knap,16,420,254,0,325,0,"{'ok': True, 'value': 420, 'stdout': '420\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08362650871276855}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [28, 23, 15, 8, 27, 32, 6, 30, 20, 2, 22, 31, 8, 20, 7, 24]
V = [6, 24, 40, 24, 44, 62, 29, 49, 44, 2, 48, 44, 58, 27, 59, 54]
C = 151"
8,lcs,4,3,3,1,4,0,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07839179039001465}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""abbd""
T = ""bbbbd"""
9,add,16,17731907340954129,1773200954954689,0,17731907340954129,1,"{'ok': True, 'value': 17731907340954129, 'stdout': '17731907340954129\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07809805870056152}",1,Compute: 9444754194954687 + 8287153145999442
10,ilp_prod,16,132,204,0,165,0,"{'ok': True, 'value': 132, 'stdout': 'Welcome to the CBC MILP Solver \nVersion: 2.10.3 \nBuild Date: Dec 15 2019 \n\ncommand line - /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/apis/../solverdir/cbc/linux/i64/cbc /tmp/9dc35f4f69c846e4bd134794f31a5063-pulp.mps -max -timeMode elapsed -branch -printingOptions all -solution /tmp/9dc35f4f69c846e4bd134794f31a5063-pulp.sol (default strategy 1)\nAt line 2 NAME          MODEL\nAt line 3 ROWS\nAt line 9 COLUMNS\nAt line 52 RHS\nAt line 57 BOUNDS\nAt line 64 ENDATA\nProblem MODEL has 4 rows, 6 columns and 24 elements\nCoin0008I MODEL read with 0 errors\nOption for timeMode changed from cpu to elapsed\nContinuous objective value is 141 - 0.00 seconds\nCgl0004I processed model has 4 rows, 6 columns (6 integer (0 of which binary)) and 24 elements\nCutoff increment increased from 1e-05 to 0.9999\nCbc0012I Integer solution of -126 found by DiveCoefficient after 0 iterations and 0 nodes (0.00 seconds)\nCbc0012I Integer solution of -132 found by DiveCoefficient after 2 iterations and 0 nodes (0.00 seconds)\nCbc0031I 1 added rows had average density of 3\nCbc0013I At root node, 1 cuts changed objective from -141 to -132 in 3 passes\nCbc0014I Cut generator 0 (Probing) - 2 row cuts average 2.0 elements, 3 column cuts (3 active)  in 0.000 seconds - new frequency is 1\nCbc0014I Cut generator 1 (Gomory) - 1 row cuts average 3.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is 1\nCbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100\nCbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100\nCbc0014I Cut generator 4 (MixedIntegerRounding2) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100\nCbc0014I Cut generator 5 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100\nCbc0001I Search completed - best objective -132, took 2 iterations and 0 nodes (0.00 seconds)\nCbc0035I Maximum depth 0, 1 variables fixed on reduced cost\nCuts at root node changed objective from -141 to -132\nProbing was tried 3 times and created 5 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nGomory was tried 3 times and created 1 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nKnapsack was tried 3 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nClique was tried 3 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nMixedIntegerRounding2 was tried 3 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nFlowCover was tried 3 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nTwoMirCuts was tried 1 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nZeroHalf was tried 1 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\n\nResult - Optimal solution found\n\nObjective value:                132.00000000\nEnumerated nodes:               0\nTotal iterations:               2\nTime (CPU seconds):             0.01\nTime (Wallclock seconds):       0.01\n\nOption for printingOptions changed from normal to all\nTotal time (CPU seconds):       0.01   (Wallclock seconds):       0.01\n\n132\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.22455525398254395}",1,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [22, 30, 42, 3, 34, 16]
consumption (rows=resources) = [[10, 7, 1, 10, 4, 14], [12, 13, 12, 13, 7, 11], [1, 2, 4, 14, 4, 14], [11, 8, 11, 11, 12, 12]]
capacity = [41, 52, 53, 37]
upper_bounds = [3, 4, 3, 3, 3, 3]"
11,rod,2,12,12,1,12,1,"{'ok': True, 'value': 12, 'stdout': '12\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08145785331726074}",1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [6, 6]"
12,ilp_prod,2,21,21,1,21,1,"{'ok': True, 'value': 21, 'stdout': 'Welcome to the CBC MILP Solver \nVersion: 2.10.3 \nBuild Date: Dec 15 2019 \n\ncommand line - /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/pulp/apis/../solverdir/cbc/linux/i64/cbc /tmp/4ab00b4cd0774ab49f37b8bd2344fe19-pulp.mps -max -timeMode elapsed -branch -printingOptions all -solution /tmp/4ab00b4cd0774ab49f37b8bd2344fe19-pulp.sol (default strategy 1)\nAt line 2 NAME          MODEL\nAt line 3 ROWS\nAt line 9 COLUMNS\nAt line 22 RHS\nAt line 27 BOUNDS\nAt line 30 ENDATA\nProblem MODEL has 4 rows, 2 columns and 6 elements\nCoin0008I MODEL read with 0 errors\nOption for timeMode changed from cpu to elapsed\nContinuous objective value is 21 - 0.00 seconds\nCgl0004I processed model has 1 rows, 2 columns (2 integer (0 of which binary)) and 2 elements\nCutoff increment increased from 1e-05 to 2.9999\nCbc0012I Integer solution of -21 found by DiveCoefficient after 0 iterations and 0 nodes (0.00 seconds)\nCbc0001I Search completed - best objective -21, took 0 iterations and 0 nodes (0.00 seconds)\nCbc0035I Maximum depth 0, 0 variables fixed on reduced cost\nCuts at root node changed objective from -21 to -21\nProbing was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nGomory was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nKnapsack was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nClique was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nMixedIntegerRounding2 was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nFlowCover was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nTwoMirCuts was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\nZeroHalf was tried 0 times and created 0 cuts of which 0 were active after adding rounds of cuts (0.000 seconds)\n\nResult - Optimal solution found\n\nObjective value:                21.00000000\nEnumerated nodes:               0\nTotal iterations:               0\nTime (CPU seconds):             0.00\nTime (Wallclock seconds):       0.00\n\nOption for printingOptions changed from normal to all\nTotal time (CPU seconds):       0.00   (Wallclock seconds):       0.00\n\n21\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.15331268310546875}",1,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [3, 6]
consumption (rows=resources) = [[1, 1], [1, 3]]
capacity = [10, 7]
upper_bounds = [7, 3]"
13,lcs,32,19,19,1,13,0,"{'ok': True, 'value': 19, 'stdout': '19\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09667468070983887}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""badcccbdabaadabbdccdccbaccbabccd""
T = ""baabdddadcdabbcdbccddccadacddbb"""
14,sub,8,5338410,5338410,1,5343410,0,"{'ok': True, 'value': 5338410, 'stdout': '5338410\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08005547523498535}",1,Compute: 39120586 - 33782176
15,mul,2,406,406,1,406,1,"{'ok': True, 'value': 406, 'stdout': '406\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.07985472679138184}",1,Compute: 29 * 14
16,knap,8,58,41,0,41,0,"{'ok': True, 'value': 58, 'stdout': '58\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08638191223144531}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [9, 9, 13, 6, 8, 4, 6, 16]
V = [16, 1, 15, 10, 10, 10, 12, 5]
C = 35"
17,lcs,8,3,3,1,4,0,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08489632606506348}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bbadcccb""
T = ""aaaacbbb"""
18,mul,8,3969565102442620,39499999999990,0,396933869957660,0,"{'ok': True, 'value': 3969565102442620, 'stdout': '3969565102442620\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08998322486877441}",1,Compute: 56485532 * 70275785
19,add,4,8809,8809,1,8809,1,"{'ok': True, 'value': 8809, 'stdout': '8809\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09522390365600586}",1,Compute: 2875 + 5934
20,lcs,8,4,4,1,4,1,"{'ok': True, 'value': 4, 'stdout': '4\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10355281829833984}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""adbacddd""
T = ""bdbaabdca"""
21,ilp_assign,4,18,18,1,17,0,"{'ok': True, 'value': 18, 'stdout': '18\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.3919651508331299}",1,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[1, 8, 10, 2], [5, 9, 8, 9], [11, 7, 8, 5], [3, 4, 9, 6]]"
22,mul,32,489609894588175025430912293831244786193479704576686284778774185,-inf,0,48949563575456934228552957456349389876,0,"{'ok': True, 'value': 489609894588175025430912293831244786193479704576686284778774185, 'stdout': '489609894588175025430912293831244786193479704576686284778774185\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09220027923583984}",1,Compute: 27494161593985543586135614534485 * 17807776858897895005337297430021
23,mul,8,1863959050052255,1860000000000000,0,1864787495393555,0,"{'ok': True, 'value': 1863959050052255, 'stdout': '1863959050052255\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08968281745910645}",1,Compute: 20787409 * 89667695
24,add,8,152864519,152864519,1,152864519,1,"{'ok': True, 'value': 152864519, 'stdout': '152864519\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.0830380916595459}",1,Compute: 60162640 + 92701879
25,sub,8,22789722,22789722,1,22789722,1,"{'ok': True, 'value': 22789722, 'stdout': '22789722\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.08527731895446777}",1,Compute: 91709201 - 68919479
26,sub,32,7062792981060630128918080327802,7062792948060678535948070337802,0,7062792978460379528948079577782,0,"{'ok': True, 'value': 7062792981060630128918080327802, 'stdout': '7062792981060630128918080327802\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09482383728027344}",1,Compute: 48306587277238128358914468337774 - 41243794296177498229996388009972
