idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_partition,0,1,42,0,1,1,,0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [2, 7, 14, 11, 14, 15, 15, 15]"
1,ilp_partition,0,0,42,0,1,0,,0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [6, 15, 14, 1, 5, 10, 17, 5, 5, 14, 2, 15, 17, 16]"
2,ilp_prod,0,27,42,0,0,0,,0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [5, 8, 19]
consumption (rows=resources) = [[7, 5, 3], [5, 4, 6], [6, 4, 1]]
capacity = [11, 10, 15]
upper_bounds = [3, 3, 3]"
3,mul,10,61930285245677270730,6219999999999999970,0,6209999999999999,0,61930285245677270730,1,Compute: 6828079170 * 9069942469
4,ilp_assign,0,27,42,0,0,0,,0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer.
C = [[3, 11, 2, 9, 19], [17, 20, 11, 5, 19], [6, 14, 10, 15, 8], [16, 13, 1, 17, 9], [4, 10, 9, 1, 19]]"
5,add,8,84721663,84721663,1,84721663,1,84721663,1,Compute: 67188922 + 17532741
6,ilp_prod,0,60,0,0,60,1,,0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [20, 20]
consumption (rows=resources) = [[6, 7], [1, 7]]
capacity = [22, 17]
upper_bounds = [3, 3]"
7,lcs,0,5,4,0,1,0,,0,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""dbbcbabb""
T = ""abdbababdda"""
8,mul,8,1542363261731472,1540999999974472,0,15309999999675552,0,1542363261731472,1,Compute: 19603464 * 78678098
9,add,12,483980042184,483980042184,1,483980042184,1,483980042184,1,Compute: 352551921205 + 131428120979
10,knap,0,125,42,0,1,0,,0,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [3, 8, 7, 3, 15, 7, 11, 6]
V = [37, 2, 14, 21, 31, 36, 3, 4]
C = 30"
11,lcs,0,5,4,0,1,0,,0,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bbacbaacdcca""
T = ""ddcccdbbaca"""
12,sub,8,3347736,3347736,1,3347736,1,3347736,1,Compute: 42896497 - 39548761
13,ilp_prod,0,41,42,0,3,0,,0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [15, 6, 13, 13]
consumption (rows=resources) = [[2, 4, 1, 3], [7, 6, 5, 8], [1, 7, 2, 5]]
capacity = [23, 17, 17]
upper_bounds = [3, 3, 3, 3]"
14,lcs,0,5,4,0,1,0,,0,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""dccdbab""
T = ""aabdcdaba"""
15,sub,10,3031829110,3031829110,1,3031829110,1,3031829110,1,Compute: 5875402673 - 2843573563
16,ilp_assign,0,32,42,0,0,0,,0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer.
C = [[18, 17, 17], [17, 20, 6], [9, 14, 16]]"
17,knap,0,63,42,0,1,0,,0,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [5, 8, 2, 10, 12, 2, 3, 15, 7]
V = [15, 12, 8, 4, 13, 4, 8, 6, 15]
C = 32"
18,ilp_partition,0,0,42,0,1,0,,0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [8, 5, 10, 19, 19, 16, 11, 5, 20, 3, 20, 13, 3]"
19,lcs,0,4,4,1,1,0,,0,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""bdddabc""
T = ""aabdadadd"""
20,rod,0,91,42,0,42,0,91,1,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 7
P = [13, 20, 14, 21, 4, 7, 20]"
21,mul,12,294449100136457454117020,29460897678467264620,0,294609797987646262,0,294449100136457454117020,1,Compute: 397213657820 * 741286444561
22,mul,10,33013671264174419355,3308987654275475555,0,3310999999999999995,0,33013671264174419355,1,Compute: 4340524785 * 7605917003
23,mul,12,208542175792223384243440,2089999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0,2089999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0,,0,Compute: 406211735704 * 513382941610
24,ilp_prod,0,44,42,0,0,0,,0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [7, 15, 17]
consumption (rows=resources) = [[3, 4, 8], [2, 7, 7]]
capacity = [16, 18]
upper_bounds = [5, 3, 3]"
25,ilp_partition,0,1,42,0,1,1,,0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [20, 20, 15, 12, 2, 7, 9, 5, 17, 4, 14, 7, 11]"
26,ilp_assign,0,19,42,0,6,0,,0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer.
C = [[14, 20, 11, 16], [11, 3, 19, 20], [2, 5, 18, 16], [6, 3, 1, 3]]"
27,ilp_partition,0,0,42,0,1,0,,0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [3, 17, 5, 1, 3, 7, 20, 20, 12, 16, 17, 5]"
28,lcs,0,5,4,0,1,0,,0,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""aaaddbbb""
T = ""cbbcacadabb"""
29,sub,10,246113766,246113766,1,246113766,1,246113766,1,Compute: 2957895163 - 2711781397
