idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,ilp_prod,12,110,42,0,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [9, 24, 20, 3, 35, 23]
consumption (rows=resources) = [[2, 6, 11, 12, 3, 10], [5, 7, 2, 11, 10, 10], [12, 9, 8, 10, 7, 9], [7, 5, 4, 11, 5, 9]]
capacity = [28, 25, 43, 40]
upper_bounds = [3, 3, 3, 3, 3, 3]"
1,ilp_assign,4,17,42,0,1,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[4, 5, 11, 2], [7, 9, 6, 11], [9, 8, 9, 4], [2, 12, 1, 2]]"
2,ilp_prod,8,78,42,0,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [19, 3, 24, 15]
consumption (rows=resources) = [[7, 7, 6, 2], [8, 4, 5, 1], [7, 3, 7, 5], [3, 2, 1, 6]]
capacity = [24, 29, 25, 20]
upper_bounds = [3, 3, 3, 3]"
3,ilp_prod,4,27,42,0,42,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\nTraceback (most recent call last):\n  File ""/tmp/cot_exec_b2rlfgyz/main.py"", line 10, in <module>\n    x = LpVariable.dicts(""x"", range(len(profit)), lowBound=0, upBound=upper_bounds)\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py"", line 461, in dicts\n    d[i] = LpVariable(\n           ~~~~~~~~~~^\n        name % tuple(indexStart + [str(i)]), lowBound, upBound, cat\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py"", line 296, in __init__\n    if not math.isfinite(self.upBound):\n           ~~~~~~~~~~~~~^^^^^^^^^^^^^^\nTypeError: must be real number, not list\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.5460779666900635}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [12, 9, 3]
consumption (rows=resources) = [[2, 1, 4], [2, 1, 2], [4, 4, 2]]
capacity = [16, 15, 11]
upper_bounds = [3, 3, 4]"
4,ilp_prod,4,40,42,0,58,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\nTraceback (most recent call last):\n  File ""/tmp/cot_exec_l7dnifgl/main.py"", line 10, in <module>\n    x = LpVariable.dicts(""x"", range(len(profit)), lowBound=0, upBound=upper_bounds)\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py"", line 461, in dicts\n    d[i] = LpVariable(\n           ~~~~~~~~~~^\n        name % tuple(indexStart + [str(i)]), lowBound, upBound, cat\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py"", line 296, in __init__\n    if not math.isfinite(self.upBound):\n           ~~~~~~~~~~~~~^^^^^^^^^^^^^^\nTypeError: must be real number, not list\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.18440532684326172}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [8, 10, 10]
consumption (rows=resources) = [[1, 1, 3], [4, 3, 4], [2, 3, 1]]
capacity = [12, 16, 11]
upper_bounds = [4, 3, 4]"
5,ilp_assign,8,47,42,0,1,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[23, 15, 12, 10, 13, 8, 4], [23, 7, 23, 22, 10, 3, 4], [8, 13, 11, 16, 4, 6, 2], [2, 20, 1, 7, 22, 2, 16], [23, 17, 24, 20, 15, 11, 22], [9, 4, 20, 23, 6, 4, 8], [13, 8, 16, 15, 13, 6, 8]]"
6,ilp_partition,4,3,11,0,1,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [10, 9, 2, 6]"
7,rod,4,16,42,0,10,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '  File ""/tmp/cot_exec_xupn8ddl/main.py"", line 4\n    dp = [0] * (n + 1)\n    ^^\nIndentationError: expected an indented block after function definition on line 3\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.19896936416625977}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 4
P = [1, 8, 6, 10]"
8,ilp_prod,12,146,42,0,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [33, 22, 20, 34, 16, 34]
consumption (rows=resources) = [[6, 10, 8, 4, 6, 3], [10, 3, 12, 10, 12, 8], [9, 3, 1, 9, 6, 9], [12, 3, 11, 4, 6, 10]]
capacity = [39, 39, 34, 27]
upper_bounds = [3, 3, 3, 3, 3, 3]"
9,ilp_prod,4,84,42,0,62,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py:1489: UserWarning: Spaces are not permitted in the name. Converted to \'_\'\n  warnings.warn(""Spaces are not permitted in the name. Converted to \'_\'"")\nTraceback (most recent call last):\n  File ""/tmp/cot_exec_j55kebkx/main.py"", line 10, in <module>\n    x = LpVariable.dicts(""x"", range(len(profit)), lowBound=0, upBound=upper_bounds)\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py"", line 461, in dicts\n    d[i] = LpVariable(\n           ~~~~~~~~~~^\n        name % tuple(indexStart + [str(i)]), lowBound, upBound, cat\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\n  File ""/mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.13/site-packages/pulp/pulp.py"", line 296, in __init__\n    if not math.isfinite(self.upBound):\n           ~~~~~~~~~~~~~^^^^^^^^^^^^^^\nTypeError: must be real number, not list\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.543529748916626}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [12, 8, 10]
consumption (rows=resources) = [[1, 2, 2], [2, 1, 3], [1, 1, 1]]
capacity = [8, 15, 8]
upper_bounds = [7, 4, 4]"
