kind,digits,N,acc_nl,acc_code,acc_exec
ilp_assign,2,6,0.166667,0.000000,0.000000
ilp_assign,4,5,0.000000,0.000000,0.000000
ilp_assign,6,6,0.000000,0.000000,0.000000
ilp_partition,2,5,0.200000,0.400000,0.800000
ilp_partition,4,6,0.166667,0.166667,0.333333
ilp_partition,6,5,0.000000,0.000000,0.000000
ilp_prod,2,5,0.000000,0.000000,0.000000
ilp_prod,4,5,0.000000,0.000000,0.000000
ilp_prod,6,6,0.000000,0.000000,0.000000
knap,2,5,0.200000,0.200000,0.000000
knap,4,5,0.000000,0.000000,0.000000
knap,6,5,0.200000,0.000000,0.000000
lcs,2,5,0.600000,0.800000,0.800000
lcs,4,6,0.166667,0.166667,1.000000
lcs,6,7,0.285714,0.285714,1.000000
rod,2,5,0.200000,0.400000,1.000000
rod,4,7,0.000000,0.000000,1.000000
rod,6,6,0.000000,0.000000,1.000000
