kind,digits,N,acc_nl,acc_code,acc_exec
add,2,222,0.981982,1.000000,1.000000
add,4,222,0.945946,0.990991,1.000000
add,8,222,0.603604,0.954955,1.000000
add,16,223,0.632287,0.614350,1.000000
add,32,224,0.035714,0.035714,0.991071
ilp_assign,2,222,0.265766,0.207207,0.000000
ilp_assign,4,222,0.000000,0.000000,0.004505
ilp_assign,8,222,0.022523,0.022523,0.139640
ilp_assign,16,222,0.004505,0.004505,0.031532
ilp_assign,32,222,0.000000,0.000000,0.009009
ilp_partition,2,222,0.387387,0.346847,0.554054
ilp_partition,4,222,0.153153,0.148649,0.454955
ilp_partition,8,222,0.000000,0.004505,0.126126
ilp_partition,16,223,0.000000,0.000000,0.067265
ilp_partition,32,222,0.000000,0.000000,0.049550
ilp_prod,2,222,0.153153,0.166667,0.000000
ilp_prod,4,222,0.009009,0.013514,0.000000
ilp_prod,8,222,0.009009,0.027027,0.000000
ilp_prod,16,222,0.004505,0.013514,0.000000
ilp_prod,32,223,0.000000,0.008969,0.004484
knap,2,222,0.148649,0.162162,0.094595
knap,4,223,0.004484,0.107623,0.183857
knap,8,222,0.000000,0.000000,0.130631
knap,16,222,0.000000,0.000000,0.031532
knap,32,222,0.000000,0.000000,0.054054
lcs,2,223,0.874439,0.668161,0.246637
lcs,4,222,0.463964,0.396396,0.945946
lcs,8,222,0.391892,0.400901,1.000000
lcs,16,222,0.022523,0.148649,1.000000
lcs,32,222,0.000000,0.148649,0.995495
mul,2,223,0.878924,0.968610,1.000000
mul,4,223,0.022422,0.008969,0.973094
mul,8,222,0.000000,0.000000,0.986486
mul,16,222,0.000000,0.000000,0.990991
mul,32,222,0.000000,0.000000,1.000000
rod,2,222,0.680180,0.382883,0.941441
rod,4,222,0.000000,0.027027,0.558559
rod,8,222,0.009009,0.009009,0.545045
rod,16,222,0.000000,0.000000,0.950450
rod,32,222,0.000000,0.000000,0.891892
sub,2,222,1.000000,1.000000,1.000000
sub,4,222,0.887387,0.995495,1.000000
sub,8,222,0.905405,0.927928,1.000000
sub,16,222,0.283784,0.463964,1.000000
sub,32,223,0.022422,0.026906,0.991031
