model,kind,digit,index_in_kind,request_id,rlm_code_correct,rlm_nl_correct
Claude Haiku 4.5,add,4,4,bd44bb1dca7bb1531e946098cb548f1ed906d7d75d025147d2925018fb2bef45,True,True
Claude Haiku 4.5,activity_selector,27,14,4b5174ae3cb20784f4fd806045a9ffbe59ac6a9f01f67064b77757c2b0f9058c,False,False
Claude Haiku 4.5,activity_selector,13,6,2efa3a8fc1355c20b6410df2c692b24e5000a8d4ba0d9b22e3416903f97a70a7,False,False
Claude Haiku 4.5,activity_selector,17,8,2eb8bfcc7e37f1d069c479a4a2c831d57f537473d11f8b00bf41eb5467b6da38,False,False
Claude Haiku 4.5,add,6,6,649e8d92981a4e012572dc38cc6148035576527a8d60655826b84c2203f7085c,True,True
Claude Haiku 4.5,activity_selector,40,18,06ca8bb49cc406dec9a2a5453289cf54d89304e8a7bc5bb393ac9627586e9a55,False,False
Claude Haiku 4.5,activity_selector,7,4,b534c63662437c741511dce391b997efbcdb7a222c087244cc8ed44202da3702,False,False
Claude Haiku 4.5,activity_selector,23,12,fbd85a1f642d0ad07016f481b03c62fd4b2c2be9769109dc108922de8b110767,False,False
Claude Haiku 4.5,add,6,5,87fc4b4d9a117b3722ebf7bc6c4cc7620114d89979e10e2ddd70806ed10ac5b7,True,True
Claude Haiku 4.5,add,10,10,3e5dd8c8223459bf4cf969f2e4075d7b95fb6db3d53e123ebb10817d2cb356ee,True,True
Claude Haiku 4.5,add,8,7,9da641b427923db3acc895dce10d38bc881f019df34c31e53dd2046fc7985ef8,True,True
Claude Haiku 4.5,add,10,9,0d6240c5e220accaff76dd176c9c69ee0f872725add051eb3d01fa4eeb9f53b9,True,True
Claude Haiku 4.5,activity_selector,12,5,f401be1f74dedb59369fa656b9e583570458fa03e71ea516938681f164915a8e,False,False
Claude Haiku 4.5,activity_selector,19,10,077ffe5881de4e9517940f271c5918367d74d58dfad94d954700a1c9be3cb358,False,False
Claude Haiku 4.5,activity_selector,16,7,df3791dd5ec8dd0bdebe6316c77a28328c56acd0818e6f486c5263c85e80a249,False,False
