         381229104 function calls (381226101 primitive calls) in 695.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30934    0.077    0.000  685.552    0.022 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/base.py:97(split_documents)
    30934    0.341    0.000  685.467    0.022 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/base.py:77(create_documents)
    30934    0.064    0.000  682.992    0.022 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/character.py:140(split_text)
33206/30934    1.670    0.000  682.927    0.022 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/character.py:98(_split_text)
  4970983    6.090    0.000  672.360    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/base.py:167(_huggingface_tokenizer_length)
  4970983   14.932    0.000  665.809    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_fast.py:434(tokenize)
  4970983   15.858    0.000  632.451    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:3044(encode_plus)
  4970983   26.225    0.000  608.866    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_fast.py:603(_encode_plus)
  4970983   27.259    0.000  518.491    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_fast.py:512(_batch_encode_plus)
    34838    4.863    0.000  427.638    0.012 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/base.py:113(_merge_splits)
  4970983  422.341    0.000  422.341    0.000 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
  9941966   16.157    0.000   54.742    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:220(__init__)
  9941966    6.649    0.000   35.826    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/collections/__init__.py:1087(__init__)
  4970983   11.464    0.000   30.631    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_fast.py:653(<dictcomp>)
  9942075   14.071    0.000   29.179    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/_collections_abc.py:983(update)
  4970983    4.204    0.000   25.814    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_fast.py:565(<listcomp>)
  4970983   20.179    0.000   21.610    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_fast.py:307(_convert_encoding)
  4970983   18.426    0.000   18.426    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:309(tokens)
 19893655    8.487    0.000   16.902    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/_collections_abc.py:901(__iter__)
60181779/60181719    7.674    0.000   12.938    0.000 {built-in method builtins.isinstance}
